order_id,date,region,channel,gross_revenue,discount,refunded
ORD-1001,2025-04-03,west,partner,6000.0,300.0,false
ORD-1002,2025-04-07,west,direct,6000.0,300.0,false
ORD-1003,2025-04-11,east,partner,6000.0,300.0,false
ORD-1004,2025-04-15,east,direct,6000.0,300.0,false
ORD-1005,2025-04-19,north,direct,6000.0,300.0,false
ORD-1006,2025-04-23,west,partner,6000.0,300.0,false
ORD-1007,2025-05-03,west,partner,6200.0,310.0,false
ORD-1008,2025-05-07,west,direct,6200.0,310.0,false
ORD-1009,2025-05-11,east,partner,6200.0,310.0,false
ORD-1010,2025-05-15,east,direct,6200.0,310.0,false
ORD-1011,2025-05-19,north,direct,6200.0,310.0,false
ORD-1012,2025-05-23,west,partner,6200.0,310.0,false
ORD-1013,2025-06-03,west,partner,5800.0,290.0,false
ORD-1014,2025-06-07,west,direct,5800.0,290.0,false
ORD-1015,2025-06-11,east,partner,5800.0,290.0,false
ORD-1016,2025-06-15,east,direct,5800.0,290.0,false
ORD-1017,2025-06-19,north,direct,5800.0,290.0,false
ORD-1018,2025-06-23,west,partner,5800.0,290.0,false
ORD-1019,2025-07-03,west,partner,2420.0,121.0,false
ORD-1020,2025-07-07,west,direct,4400.0,220.0,false
ORD-1021,2025-07-11,east,partner,4400.0,220.0,false
ORD-1022,2025-07-15,east,direct,4400.0,220.0,false
ORD-1023,2025-07-19,north,direct,4400.0,220.0,false
ORD-1024,2025-07-23,west,partner,2420.0,121.0,false
ORD-1025,2025-08-03,west,partner,2090.0,104.5,true
ORD-1026,2025-08-07,west,direct,3800.0,190.0,true
ORD-1027,2025-08-11,east,partner,3800.0,190.0,false
ORD-1028,2025-08-15,east,direct,3800.0,190.0,false
ORD-1029,2025-08-19,north,direct,3800.0,190.0,false
ORD-1030,2025-08-23,west,partner,2090.0,104.5,true
ORD-1031,2025-09-03,west,partner,1925.0,96.25,false
ORD-1032,2025-09-07,west,direct,3500.0,175.0,false
ORD-1033,2025-09-11,east,partner,3500.0,175.0,false
ORD-1034,2025-09-15,east,direct,3500.0,175.0,false
ORD-1035,2025-09-19,north,direct,3500.0,175.0,false
ORD-1036,2025-09-23,west,partner,1925.0,96.25,false
ORD-1001,2025-04-03,west,partner,6000.0,300.0,false
ORD-9999,2025-05-19,,direct,6200.0,310.0,false
